searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
stevens mrt station (dt10),92,stevens road,stevens mrt station (dt10),92 stevens road stevens mrt station (dt10) singapore 257877,257877,27188.2299643802,33591.6608552355,1.32006555750626,103.826024401924,,mrt
bishan mrt station (ns17),200,bishan road,bishan mrt station (ns17),200 bishan road bishan mrt station (ns17) singapore 579827,579827,29649.8988074977,36994.4330169763,1.35083898784737,103.848143964542,,mrt
cantonment mrt station (cc31),100,everton road,cantonment mrt station (cc31),100 everton road cantonment mrt station (cc31) singapore 089395,089395,28416.6484560147,28373.255790269,1.27287214563203,103.837062313764,,mrt
chinatown mrt station,151,new bridge road,chinatown mrt station,151 new bridge road chinatown mrt station singapore 059443,059443,29093.2593877828,29599.7432148103,1.2839640518753,103.843141945391,,mrt
harbourfront mrt station,81,telok blangah road,harbourfront mrt station,81 telok blangah road harbourfront mrt station singapore 098867,098867,26579.7667925926,27537.2307433821,1.26531139858465,103.820557316696,,mrt
jurong hill mrt station,,jurong pier road,jurong hill mrt station,jurong pier road jurong hill mrt station,nil,14290.8277748516,33432.670703765,1.31862464981185,103.710134682085,,mrt
keppel mrt station (cc30),51,keppel road,keppel mrt station (cc30),51 keppel road keppel mrt station (cc30) singapore 099423,099423,27634.1687435787,28030.479924798,1.26977220124441,103.830031459524,,mrt
lavender mrt station (ew11),50,kallang road,lavender mrt station (ew11),50 kallang road lavender mrt station (ew11) singapore 208699,208699,31277.4062337531,32188.7337866109,1.30737781747063,103.862767633888,,mrt
mattar mrt station (dt25),60,merpati road,mattar mrt station (dt25),60 merpati road mattar mrt station (dt25) singapore 379314,379314,33556.5834402461,34344.8585332558,1.32687671501334,103.883247509542,,mrt
orchard mrt station (ns22),437,orchard road,orchard mrt station (ns22),437 orchard road orchard mrt station (ns22) singapore 238878,238878,27880.5476490632,31813.0165782962,1.30398013681715,103.832245244375,,mrt
stevens mrt station (te11),82,stevens road,stevens mrt station (te11),82 stevens road stevens mrt station (te11) singapore 257879,257879,27137.3215161348,33510.8105305303,1.31933437435349,103.825566965234,,mrt
bartley mrt station (cc12),90,bartley road,bartley mrt station (cc12),90 bartley road bartley mrt station (cc12) singapore 539788,539788,33214.9339675205,36072.5255325548,1.34250117805245,103.880177899184,,mrt
kranji mrt station (ns7),960,woodlands road,kranji mrt station (ns7),960 woodlands road kranji mrt station (ns7) singapore 738702,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497,,mrt
macpherson mrt station,171,paya lebar road,macpherson mrt station,171 paya lebar road macpherson mrt station singapore 409048,409048,34308.9422410969,34340.774322873,1.32683963232487,103.890007860464,,mrt
marymount mrt station (cc16),60,marymount road,marymount mrt station (cc16),60 marymount road marymount mrt station (cc16) singapore 573993,573993,28679.3687734958,36758.7136478554,1.348707263451,103.839423132332,,mrt
napier mrt station (te12),2,napier road,napier mrt station (te12),2 napier road napier mrt station (te12) singapore 258511,258511,26401.666707457,32122.8625724912,1.30678223364785,103.818956796815,,mrt
newton mrt station (ns21),49,scotts road,newton mrt station (ns21),49 scotts road newton mrt station (ns21) singapore 228234,228234,28519.2830723543,32735.0770371091,1.3123189224097,103.837984594021,,mrt
novena mrt station (ns20),250,thomson road,novena mrt station (ns20),250 thomson road novena mrt station (ns20) singapore 307642,307642,29169.3297925005,33633.1535391063,1.32044079120154,103.843825618748,,mrt
sembawang mrt station (ns11),11,canberra road,sembawang mrt station (ns11),11 canberra road sembawang mrt station (ns11) singapore 759775,759775,26522.9882623879,47854.1998395547,1.44905082158502,103.820046140211,,mrt
somerset mrt station (ns23),1,somerset road,somerset mrt station (ns23),1 somerset road somerset mrt station (ns23) singapore 238162,238162,28641.8346576076,31402.1245223526,1.30026416739006,103.839085753124,,mrt
tuas west road mrt station (ew32),131,pioneer road,tuas west road mrt station (ew32),131 pioneer road tuas west road mrt station (ew32) singapore 639609,639609,6442.92861192208,34689.3517738562,1.32998504653102,103.639616648771,,mrt
boon keng mrt station (ne9),900,serangoon road,boon keng mrt station (ne9),900 serangoon road boon keng mrt station (ne9) singapore 328260,328260,31144.045013207,33510.9746132698,1.31933570922514,103.861569454156,,mrt
chinatown mrt station (ne4),151,new bridge road,chinatown mrt station (ne4),151 new bridge road chinatown mrt station (ne4) singapore 059443,059443,29124.9480295833,29643.4802091382,1.28435959278583,103.843426681863,,mrt
dakota mrt station (cc8),201,old airport road,dakota mrt station (cc8),201 old airport road dakota mrt station (cc8) singapore 397973,397973,34204.0252977135,32318.1744557619,1.30854798388121,103.889064718377,,mrt
dhoby ghaut mrt station (cc1),13,orchard road,dhoby ghaut mrt station (cc1),13 orchard road dhoby ghaut mrt station (cc1) singapore 238893,238893,29443.8824096406,31252.5723822247,1.29891164362677,103.84629250696,,mrt
dhoby ghaut mrt station (ne6),60,orchard road,dhoby ghaut mrt station (ne6),60 orchard road dhoby ghaut mrt station (ne6) singapore 238889,238889,29354.4079191377,31340.2508916464,1.29970458121203,103.845488542541,,mrt
dhoby ghaut mrt station (ns24),11,orchard road,dhoby ghaut mrt station (ns24),11 orchard road dhoby ghaut mrt station (ns24) singapore 238826,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951,,mrt
esplanade mrt station (cc3),90,bras basah road,esplanade mrt station (cc3),90 bras basah road esplanade mrt station (cc3) singapore 189562,189562,30421.9934839159,30671.6277715843,1.2936577245386,103.855081226245,,mrt
gul circle mrt station (ew30),7a,tuas road,gul circle mrt station (ew30),7a tuas road gul circle mrt station (ew30) singapore 637288,637288,8770.35150132887,33526.5733700171,1.31947090075208,103.660530461345,,mrt
siglap mrt station (te28),1000,marine parade road,siglap mrt station (te28),1000 marine parade road siglap mrt station (te28) singapore 449969,449969,38762.6117753303,32479.831004722,1.31000869432289,103.930025826708,,mrt
tiong bahru mrt station,300,tiong bahru road,tiong bahru mrt station,300 tiong bahru road tiong bahru mrt station singapore 168731,168731,27296.6770021692,29846.3821525425,1.28619457890544,103.826998939732,,mrt
bras basah mrt station (cc2),65,bras basah road,bras basah mrt station (cc2),65 bras basah road bras basah mrt station (cc2) singapore 189561,189561,29930.7673842637,31025.9015965667,1.29686168649656,103.850667371637,,mrt
city hall mrt station,150,north bridge road,city hall mrt station,150 north bridge road city hall mrt station singapore 179100,179100,30139.4703683555,30597.7816701867,1.29298990700923,103.852542630339,,mrt
dakota mrt station (cc8),201,old airport road,dakota mrt station (cc8),201 old airport road dakota mrt station (cc8) singapore 397973,397973,34204.0252977135,32318.1744557619,1.30854798388121,103.889064718377,,mrt
esplanade mrt station (cc3),90,bras basah road,esplanade mrt station (cc3),90 bras basah road esplanade mrt station (cc3) singapore 189562,189562,30421.9934839159,30671.6277715843,1.2936577245386,103.855081226245,,mrt
gul circle mrt station (ew30),7a,tuas road,gul circle mrt station (ew30),7a tuas road gul circle mrt station (ew30) singapore 637288,637288,8770.35150132887,33526.5733700171,1.31947090075208,103.660530461345,,mrt
jurong town hall mrt station,,jurong town hall road,jurong town hall mrt station,jurong town hall road jurong town hall mrt station,nil,18194.6328327013,34289.9398193117,1.32637897756011,103.745212052616,,mrt
macpherson mrt station (cc10),171,paya lebar road,macpherson mrt station (cc10),171 paya lebar road macpherson mrt station (cc10) singapore 409048,409048,34351.6177675035,34256.5138255134,1.32607760171665,103.890391305725,,mrt
rochor mrt station (dt13),11,rochor canal road,rochor mrt station (dt13),11 rochor canal road rochor mrt station (dt13) singapore 188505,188505,30164.7018503863,31798.8766778279,1.30385218527656,103.852769428884,,mrt
tuas mrt depot,3,tuas west road,tuas mrt depot,3 tuas west road tuas mrt depot singapore 638391,638391,6376.98430062085,36040.7232042067,1.34220625292052,103.639023145587,,mrt
woodleigh mrt station,400,upper serangoon road,woodleigh mrt station,400 upper serangoon road woodleigh mrt station singapore 347695,347695,32189.1849914445,35776.9485923164,1.33982824592182,103.87096088798,,mrt
great world mrt station (te15),351,river valley road,great world mrt station (te15),351 river valley road great world mrt station (te15) singapore 238384,238384,28044.7678659763,30703.7324468214,1.29394816169384,103.833720837731,,mrt
katong park mrt station (te24),45,meyer road,katong park mrt station (te24),45 meyer road katong park mrt station (te24) singapore 437870,437870,33882.890949796,31133.1909445133,1.29783147778951,103.886178949925,,mrt
maxwell mrt station (te18),321,south bridge road,maxwell mrt station (te18),321 south bridge road maxwell mrt station (te18) singapore 058841,058841,29175.8088360233,29220.3885515537,1.28053329842878,103.843883670633,,mrt
outram park mrt station (ew16),10,outram road,outram park mrt station (ew16),10 outram road outram park mrt station (ew16) singapore 169037,169037,28646.8726726929,29316.780396251,1.28140504772213,103.839130979249,,mrt
outram park mrt station (te17),13,outram road,outram park mrt station (te17),13 outram road outram park mrt station (te17) singapore 169080,169080,28647.6048249509,29308.4426563848,1.28132964411173,103.839137557749,,mrt
pasir panjang mrt station (cc26),119,pasir panjang road,pasir panjang mrt station (cc26),119 pasir panjang road pasir panjang mrt station (cc26) singapore 117424,117424,23329.2647148455,28742.7657615561,1.27621352233766,103.791350313288,,mrt
paya lebar mrt station (cc9),15,paya lebar road,paya lebar mrt station (cc9),15 paya lebar road paya lebar mrt station (cc9) singapore 409049,409049,34559.6916920897,33280.1181892157,1.3172473854035,103.892260753884,,mrt
tanjong katong mrt station (te25),2,amber road,tanjong katong mrt station (te25),2 amber road tanjong katong mrt station (te25) singapore 439846,439846,35128.2119915774,31297.7308518719,1.29931925769899,103.897368742078,,mrt
tengah park mrt station,,bukit batok road,tengah park mrt station,bukit batok road tengah park mrt station,nil,17252.7633406054,37172.1733368579,1.35244451963606,103.736747833111,,mrt
tiong bahru mrt station (ew17),300,tiong bahru road,tiong bahru mrt station (ew17),300 tiong bahru road tiong bahru mrt station (ew17) singapore 168731,168731,27346.3322650846,29836.2044219468,1.28610253615775,103.827445112419,,mrt
bras basah mrt station (cc2),65,bras basah road,bras basah mrt station (cc2),65 bras basah road bras basah mrt station (cc2) singapore 189561,189561,29930.7673842637,31025.9015965667,1.29686168649656,103.850667371637,,mrt
city hall mrt station,150,north bridge road,city hall mrt station,150 north bridge road city hall mrt station singapore 179100,179100,30139.4703683555,30597.7816701867,1.29298990700923,103.852542630339,,mrt
farrer park mrt station,250,race course road,farrer park mrt station,250 race course road farrer park mrt station singapore 218703,218703,30385.638003313,32825.9104390088,1.31314029963164,103.854754721344,,mrt
fort canning mrt station (dt20),170,river valley road,fort canning mrt station (dt20),170 river valley road fort canning mrt station (dt20) singapore 179038,179038,29225.6276065866,30541.6087720692,1.29248194822996,103.844331362465,,mrt
kovan mrt station (ne13),900,upper serangoon road,kovan mrt station (ne13),900 upper serangoon road kovan mrt station (ne13) singapore 534799,534799,33758.7578018578,38027.2794417515,1.36017917065237,103.885064856353,,mrt
labrador park mrt station,701,telok blangah road,labrador park mrt station,701 telok blangah road labrador park mrt station singapore 109029,109029,24672.1010278082,28317.5716898218,1.27236838626952,103.803416232089,,mrt
paya lebar mrt station (ew8),30,paya lebar road,paya lebar mrt station (ew8),30 paya lebar road paya lebar mrt station (ew8) singapore 409006,409006,34648.7236344032,33375.6688563768,1.31811149224527,103.893060771576,,mrt
prince edward road mrt station (cc32),80,shenton way,prince edward road mrt station (cc32),80 shenton way prince edward road mrt station (cc32) singapore 079122,079122,29533.4444351522,28404.7502629552,1.27315693636085,103.847097123745,,mrt
punggol coast mrt station (ne18),101,new punggol road,punggol coast mrt station (ne18),101 new punggol road punggol coast mrt station (ne18) singapore 828604,828604,36552.0706724664,44081.1334630698,1.41492733388605,103.910166388177,,mrt
tuas crescent mrt station (ew31),90,pioneer road,tuas crescent mrt station (ew31),90 pioneer road tuas crescent mrt station (ew31) singapore 639608,639608,7495.83786702435,33698.7263109088,1.32102695598684,103.649078235627,,mrt
little india mrt station,60,bukit timah road,little india mrt station,60 bukit timah road little india mrt station singapore 229900,229900,29838.8603467131,32173.9034431651,1.30724381608438,103.849841614124,,mrt
marine parade mrt station (te26),101,marine parade road,marine parade mrt station (te26),101 marine parade road marine parade mrt station (te26) singapore 449971,449971,35975.6107479017,31661.8079924919,1.30261163483383,103.904983086812,,mrt
mount pleasant mrt station (te10),14,denham road,mount pleasant mrt station (te10),14 denham road mount pleasant mrt station (te10) singapore 299781,299781,28208.1121879769,34531.4352277666,1.32856455460666,103.83518858199,,mrt
newton mrt station (dt11),235,bukit timah road,newton mrt station (dt11),235 bukit timah road newton mrt station (dt11) singapore 229901,229901,28489.236438402,32920.1726889089,1.31399286264569,103.837714613091,,mrt
potong pasir mrt station,55,upper serangoon road,potong pasir mrt station,55 upper serangoon road potong pasir mrt station singapore 347694,347694,32011.4318379387,34842.5702445824,1.33137808528793,103.869363547741,,mrt
serangoon mrt station (ne12),600,upper serangoon road,serangoon mrt station (ne12),600 upper serangoon road serangoon mrt station (ne12) singapore 534801,534801,32480.0729367165,36869.3930099793,1.34970788089564,103.873574849884,,mrt
springleaf mrt station (te4),825,upper thomson road,springleaf mrt station (te4),825 upper thomson road springleaf mrt station (te4) singapore 787140,787140,26279.3279363979,42162.9344399534,1.39758106126824,103.817856949947,,mrt
tanjong pagar mrt station (ew15),120,maxwell road,tanjong pagar mrt station (ew15),120 maxwell road tanjong pagar mrt station (ew15) singapore 069119,069119,29380.7567437869,28781.1883335691,1.27656131737246,103.845725186759,,mrt
telok blangah mrt station (cc28),463,telok blangah road,telok blangah mrt station (cc28),463 telok blangah road telok blangah mrt station (cc28) singapore 109028,109028,25378.2908018399,28133.7990515903,1.27070647717762,103.809761611219,,mrt
woodleigh mrt station (ne11),400,upper serangoon road,woodleigh mrt station (ne11),400 upper serangoon road woodleigh mrt station (ne11) singapore 347695,347695,32173.3185749156,35706.3793633711,1.33919004519388,103.87081830915,,mrt
botanic gardens mrt station,100,cluny park road,botanic gardens mrt station,100 cluny park road botanic gardens mrt station singapore 257494,257494,26004.2227469468,33848.3595389649,1.32238699517166,103.815385463093,,mrt
bukit batok west mrt station,,bukit batok road,bukit batok west mrt station,bukit batok road bukit batok west mrt station,nil,17559.2389040086,36423.5054139402,1.34567395098752,103.739501967519,,mrt
buona vista mrt station,150,north buona vista road,buona vista mrt station,150 north buona vista road buona vista mrt station singapore 139350,139350,23219.4630031772,32066.8500946872,1.30627534823257,103.790363200126,,mrt
farrer park mrt station (ne8),250,race course road,farrer park mrt station (ne8),250 race course road farrer park mrt station (ne8) singapore 218703,218703,30243.5206485614,32689.3795552086,1.31190557325774,103.853477716509,,mrt
haw par villa mrt station (cc25),270,pasir panjang road,haw par villa mrt station (cc25),270 pasir panjang road haw par villa mrt station (cc25) singapore 117396,117396,22261.1431040755,29445.802035436,1.28257135772488,103.781752725064,,mrt
hillview mrt station,510,upper bukit timah road,hillview mrt station,510 upper bukit timah road hillview mrt station singapore 678211,678211,20706.428302045,38326.8960984368,1.36288845715168,103.767780907707,,mrt
little india mrt station (ne7),60,bukit timah road,little india mrt station (ne7),60 bukit timah road little india mrt station (ne7) singapore 229900,229900,29817.2085683132,32124.850180177,1.30680019696174,103.849647059738,,mrt
marine terrace mrt station (te27),304,marine parade road,marine terrace mrt station (te27),304 marine parade road marine terrace mrt station (te27) singapore 449970,449970,37102.263435401,32110.0544330366,1.30666510344814,103.9151067005,,mrt
potong pasir mrt station (ne10),55,upper serangoon road,potong pasir mrt station (ne10),55 upper serangoon road potong pasir mrt station (ne10) singapore 347694,347694,31977.1667550961,34842.7250955887,1.33137949021368,103.869055656782,,mrt
tan kah kee mrt station,651,bukit timah road,tan kah kee mrt station,651 bukit timah road tan kah kee mrt station singapore 266268,266268,25020.7282696236,34291.248031836,1.32639224146351,103.806548201692,,mrt
botanic gardens mrt station (cc19),100,cluny park road,botanic gardens mrt station (cc19),100 cluny park road botanic gardens mrt station (cc19) singapore 257494,257494,25959.6005048994,33818.1442215387,1.32211373558877,103.814984510627,,mrt
botanic gardens mrt station (dt9),491,bukit timah road,botanic gardens mrt station (dt9),491 bukit timah road botanic gardens mrt station (dt9) singapore 259777,259777,26074.1720875856,33859.5354773961,1.32248807089544,103.816013994259,,mrt
city hall mrt station (ew13 / ns25),150,north bridge road,city hall mrt station (ew13 / ns25),150 north bridge road city hall mrt station (ew13 / ns25) singapore 179100,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366,,mrt
kent ridge mrt station (cc24),301,south buona vista road,kent ridge mrt station (cc24),301 south buona vista road kent ridge mrt station (cc24) singapore 118177,118177,22575.0107144611,30657.9332947638,1.29353349887123,103.784572738173,,mrt
labrador park mrt station (cc27),701,telok blangah road,labrador park mrt station (cc27),701 telok blangah road labrador park mrt station (cc27) singapore 109029,109029,24584.7750495933,28304.9440988898,1.27225417749656,103.802631578766,,mrt
little india mrt station (ne7),60,bukit timah road,little india mrt station (ne7),60 bukit timah road little india mrt station (ne7) singapore 229900,229900,29817.2085683132,32124.850180177,1.30680019696174,103.849647059738,,mrt
marine terrace mrt station (te27),304,marine parade road,marine terrace mrt station (te27),304 marine parade road marine terrace mrt station (te27) singapore 449970,449970,37102.263435401,32110.0544330366,1.30666510344814,103.9151067005,,mrt
potong pasir mrt station (ne10),55,upper serangoon road,potong pasir mrt station (ne10),55 upper serangoon road potong pasir mrt station (ne10) singapore 347694,347694,31977.1667550961,34842.7250955887,1.33137949021368,103.869055656782,,mrt
sixth avenue mrt station (dt7),777,bukit timah road,sixth avenue mrt station (dt7),777 bukit timah road sixth avenue mrt station (dt7) singapore 269784,269784,23947.7493738988,34785.0233010761,1.33085764536226,103.796906838288,,mrt
sungei bedok mrt station (te31 / dt37),3,bedok road,sungei bedok mrt station (te31 / dt37),3 bedok road sungei bedok mrt station (te31 / dt37) singapore 469731,469731,41784.9899015203,33629.1483281609,1.32040148729112,103.957183823478,,mrt
beauty world mrt station,101,upper bukit timah road,beauty world mrt station,101 upper bukit timah road beauty world mrt station singapore 588216,588216,21592.8719098605,35895.6656477842,1.34090149001429,103.775746717778,,mrt
beauty world mrt station (dt5),101,upper bukit timah road,beauty world mrt station (dt5),101 upper bukit timah road beauty world mrt station (dt5) singapore 588216,588216,21598.1664763764,35931.2358860858,1.34122317558549,103.775794285083,,mrt
bedok north mrt station (dt29),651,bedok north road,bedok north mrt station (dt29),651 bedok north road bedok north mrt station (dt29) singapore 479481,479481,37421.7438196167,35214.6803870108,1.33474211664091,103.91797832995,,mrt
buona vista mrt station (cc22),150,north buona vista road,buona vista mrt station (cc22),150 north buona vista road buona vista mrt station (cc22) singapore 139350,139350,23257.9930265341,32106.5630513821,1.30663450405,103.790709404436,,mrt
buona vista mrt station (ew21),100,north buona vista road,buona vista mrt station (ew21),100 north buona vista road buona vista mrt station (ew21) singapore 139345,139345,23207.2578019593,32171.7150982097,1.3072237082044,103.790253514502,,mrt
hillview mrt station (dt3),510,upper bukit timah road,hillview mrt station (dt3),510 upper bukit timah road hillview mrt station (dt3) singapore 678211,678211,20666.0675499607,38266.7898455672,1.36234486803558,103.767418254007,,mrt
hume mrt station (dt4),371,upper bukit timah road,hume mrt station (dt4),371 upper bukit timah road hume mrt station (dt4) singapore 589681,589681,20855.3014404941,37409.8791332152,1.3545953239503,103.769118851887,,mrt
tai seng mrt station (cc11),33,upper paya lebar road,tai seng mrt station (cc11),33 upper paya lebar road tai seng mrt station (cc11) singapore 534803,534803,34128.792347569,35258.74881576,1.33514150139202,103.888389300191,,mrt
tan kah kee mrt station (dt8),651,bukit timah road,tan kah kee mrt station (dt8),651 bukit timah road tan kah kee mrt station (dt8) singapore 266268,266268,25155.6221095249,34198.8053115103,1.32555623519898,103.807760304729,,mrt
tanah merah mrt station (ew4),920,new upper changi road,tanah merah mrt station (ew4),920 new upper changi road tanah merah mrt station (ew4) singapore 467356,467356,40579.0997793637,34379.4316836372,1.32718729074675,103.946348600798,,mrt
bedok south mrt station (te30),620,upper east coast road,bedok south mrt station (te30),620 upper east coast road bedok south mrt station (te30) singapore 468324,468324,40908.8629240785,33218.045304371,1.31668400658419,103.94931120983,,mrt
bukit panjang mrt station,950,upper bukit timah road,bukit panjang mrt station,950 upper bukit timah road bukit panjang mrt station singapore 678213,678213,19972.866827121,40170.5069702659,1.37956121236613,103.761188866252,,mrt
bukit panjang mrt station (dt1),950,upper bukit timah road,bukit panjang mrt station (dt1),950 upper bukit timah road bukit panjang mrt station (dt1) singapore 678213,678213,20011.3981217332,40108.6837660205,1.37900211641036,103.761535114929,,mrt
upper changi mrt station (dt34),690,upper changi road east,upper changi mrt station (dt34),690 upper changi road east upper changi mrt station (dt34) singapore 485990,485990,42262.187971171,35988.6568845119,1.34173977444995,103.961472788634,,mrt
woodlands north mrt station (te1),20,woodlands north coast road,woodlands north mrt station (te1),20 woodlands north coast road woodlands north mrt station (te1) singapore 737668,737668,22699.9912448721,47770.3945726696,1.44829245259621,103.785692682441,,mrt
pasir panjang mrt station (cc26),119,pasir panjang road,pasir panjang mrt station (cc26),119 pasir panjang road pasir panjang mrt station (cc26) singapore 117424,117424,23329.2647148455,28742.7657615561,1.27621352233766,103.791350313288,,mrt
paya lebar mrt station (ew8),30,paya lebar road,paya lebar mrt station (ew8),30 paya lebar road paya lebar mrt station (ew8) singapore 409006,409006,34648.7236344032,33375.6688563768,1.31811149224527,103.893060771576,,mrt
pioneer mrt station (ew28),31,jurong west street 63,pioneer mrt station (ew28),31 jurong west street 63 pioneer mrt station (ew28) singapore 648310,648310,12864.9698331021,35529.5115483906,1.33758701106708,103.697321608474,,mrt
prince edward road mrt station (cc32),80,shenton way,prince edward road mrt station (cc32),80 shenton way prince edward road mrt station (cc32) singapore 079122,079122,29533.4444351522,28404.7502629552,1.27315693636085,103.847097123745,,mrt
punggol coast mrt station (ne18),101,new punggol road,punggol coast mrt station (ne18),101 new punggol road punggol coast mrt station (ne18) singapore 828604,828604,36552.0706724664,44081.1334630698,1.41492733388605,103.910166388177,,mrt
sixth avenue mrt station (dt7),777,bukit timah road,sixth avenue mrt station (dt7),777 bukit timah road sixth avenue mrt station (dt7) singapore 269784,269784,23947.7493738988,34785.0233010761,1.33085764536226,103.796906838288,,mrt
tampines east mrt station (dt33),20,tampines avenue 7,tampines east mrt station (dt33),20 tampines avenue 7 tampines east mrt station (dt33) singapore 529623,529623,41501.0748521937,37586.6177644413,1.35619148271544,103.9546344625,,mrt
tanjong rhu mrt station (te23),2,tanjong rhu place,tanjong rhu mrt station (te23),2 tanjong rhu place tanjong rhu mrt station (te23) singapore 436488,436488,32466.6345270379,31070.5354917869,1.29726507940646,103.873453254621,,mrt
telok blangah mrt station (cc28),463,telok blangah road,telok blangah mrt station (cc28),463 telok blangah road telok blangah mrt station (cc28) singapore 109028,109028,25378.2908018399,28133.7990515903,1.27070647717762,103.809761611219,,mrt
tuas link mrt station (ew33),20,tuas west drive,tuas link mrt station (ew33),20 tuas west drive tuas link mrt station (ew33) singapore 638418,638418,6150.86278806347,35894.3582222275,1.34088242451105,103.636991425128,,mrt
bedok mrt station (ew5),315,new upper changi road,bedok mrt station (ew5),315 new upper changi road bedok mrt station (ew5) singapore 467347,467347,38757.952049505,34024.7047772072,1.32397996868158,103.929984495066,,mrt
bedok north mrt station (dt29),651,bedok north road,bedok north mrt station (dt29),651 bedok north road bedok north mrt station (dt29) singapore 479481,479481,37421.7438196167,35214.6803870108,1.33474211664091,103.91797832995,,mrt
boon lay mrt station (ew27),301,boon lay way,boon lay mrt station (ew27),301 boon lay way boon lay mrt station (ew27) singapore 649846,649846,13837.9827195406,35641.9191215802,1.33860405469845,103.706064622772,,mrt
botanic gardens mrt station (cc19),100,cluny park road,botanic gardens mrt station (cc19),100 cluny park road botanic gardens mrt station (cc19) singapore 257494,257494,25959.6005048994,33818.1442215387,1.32211373558877,103.814984510627,,mrt
bras basah mrt station (cc2),65,bras basah road,bras basah mrt station (cc2),65 bras basah road bras basah mrt station (cc2) singapore 189561,189561,29930.7673842637,31025.9015965667,1.29686168649656,103.850667371637,,mrt
bright hill mrt station (te7),100,sin ming avenue,bright hill mrt station (te7),100 sin ming avenue bright hill mrt station (te7) singapore 575737,575737,27952.7070973367,38370.443887597,1.36328318545185,103.832893619992,,mrt
chinese garden mrt station (ew25),151,boon lay way,chinese garden mrt station (ew25),151 boon lay way chinese garden mrt station (ew25) singapore 609959,609959,16790.7466322081,36056.3018932827,1.34235282081401,103.732596738363,,mrt
expo mrt station (cg1),21,changi south avenue 1,expo mrt station (cg1),21 changi south avenue 1 expo mrt station (cg1) singapore 486065,486065,42270.6232344816,35193.6223453786,1.33454977824817,103.961548211018,,mrt
hong kah mrt station (js4),31,tengah garden avenue,hong kah mrt station (js4),31 tengah garden avenue hong kah mrt station (js4) singapore 699914,699914,16073.7050595814,37800.0116503835,1.35812200829127,103.726153007988,,mrt
hume mrt station (dt4),371,upper bukit timah road,hume mrt station (dt4),371 upper bukit timah road hume mrt station (dt4) singapore 589681,589681,20855.3014404941,37409.8791332152,1.3545953239503,103.769118851887,,mrt
hillview mrt station (dt3),510,upper bukit timah road,hillview mrt station (dt3),510 upper bukit timah road hillview mrt station (dt3) singapore 678211,678211,20666.0675499607,38266.7898455672,1.36234486803558,103.767418254007,,mrt
hong kah mrt station (js4),31,tengah garden avenue,hong kah mrt station (js4),31 tengah garden avenue hong kah mrt station (js4) singapore 699914,699914,16073.7050595814,37800.0116503835,1.35812200829127,103.726153007988,,mrt
hume mrt station (dt4),371,upper bukit timah road,hume mrt station (dt4),371 upper bukit timah road hume mrt station (dt4) singapore 589681,589681,20855.3014404941,37409.8791332152,1.3545953239503,103.769118851887,,mrt
labrador park mrt station (cc27),701,telok blangah road,labrador park mrt station (cc27),701 telok blangah road labrador park mrt station (cc27) singapore 109029,109029,24584.7750495933,28304.9440988898,1.27225417749656,103.802631578766,,mrt
little india mrt station (ne7),60,bukit timah road,little india mrt station (ne7),60 bukit timah road little india mrt station (ne7) singapore 229900,229900,29817.2085683132,32124.850180177,1.30680019696174,103.849647059738,,mrt
marine parade mrt station (te26),101,marine parade road,marine parade mrt station (te26),101 marine parade road marine parade mrt station (te26) singapore 449971,449971,35975.6107479017,31661.8079924919,1.30261163483383,103.904983086812,,mrt
marine terrace mrt station (te27),304,marine parade road,marine terrace mrt station (te27),304 marine parade road marine terrace mrt station (te27) singapore 449970,449970,37102.263435401,32110.0544330366,1.30666510344814,103.9151067005,,mrt
pasir ris mrt station (ew1),10,pasir ris central,pasir ris mrt station (ew1),10 pasir ris central pasir ris mrt station (ew1) singapore 519634,519634,40905.597462655,39449.9823396821,1.37304331635804,103.949284527763,,mrt
paya lebar mrt station (cc9),15,paya lebar road,paya lebar mrt station (cc9),15 paya lebar road paya lebar mrt station (cc9) singapore 409049,409049,34559.6916920897,33280.1181892157,1.3172473854035,103.892260753884,,mrt
potong pasir mrt station (ne10),55,upper serangoon road,potong pasir mrt station (ne10),55 upper serangoon road potong pasir mrt station (ne10) singapore 347694,347694,31977.1667550961,34842.7250955887,1.33137949021368,103.869055656782,,mrt
bedok reservoir mrt station (dt30),371,bedok north avenue 3,bedok reservoir mrt station (dt30),371 bedok north avenue 3 bedok reservoir mrt station (dt30) singapore 469724,469724,39008.3131622663,35421.0408713054,1.33660782955099,103.932234623286,,mrt
boon lay mrt station (js8),100,jurong west street 64,boon lay mrt station (js8),100 jurong west street 64 boon lay mrt station (js8) singapore 649657,649657,13677.6658012709,35586.0199368391,1.33809844792781,103.704624110866,,mrt
clarke quay mrt station (ne5),10,eu tong sen street,clarke quay mrt station (ne5),10 eu tong sen street clarke quay mrt station (ne5) singapore 059815,059815,29473.1249443376,30088.7037861496,1.28838602407588,103.846555209694,,mrt
harbourfront mrt station (ne1 / cc29),81,telok blangah road,harbourfront mrt station (ne1 / cc29),81 telok blangah road harbourfront mrt station (ne1 / cc29) singapore 098867,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095,,mrt
